EpRewMean,TimestepsSoFar,loss_ent,EpThisIter,EpLenMean,loss_vf_loss,loss_pol_surr,loss_kl,TimeElapsed,AgentID,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before
-1247.62331667,97021,11.1990451813,666,145.677177177,21166.1478271,-0.00616003467682,0.00686058002369,66.94621682167053,0,666,,-0.00364661216736
-1268.71248851,195690,11.0589141846,662,147.285,21311.602417,-0.00686943326339,0.00713258888572,133.5894215106964,0,1328,,0.0158758759499
-1304.72264565,293704,10.9262800217,641,151.993,20192.7491048,-0.00730901539403,0.00692927545363,200.176917552948,0,1969,,0.0532031655312
-1259.507047,391618,10.7918558121,635,152.545,18224.7157186,-0.00791920440194,0.00756039571327,266.8220810890198,0,2604,,0.0328950285912
-1262.64303847,490604,10.6673002243,643,155.613,18392.4743042,-0.0078633526767,0.00695215772915,333.69065618515015,0,3247,,0.00257974863052
-1233.29442754,588987,10.5421762466,637,154.906,17601.0260213,-0.00838221194378,0.00696732763511,400.3623251914978,0,3884,,-0.0200941562653
-1178.68034246,686864,10.4173297882,659,149.735,16872.1155802,-0.00812580650139,0.00675013712801,466.4725503921509,0,4543,,-0.022879242897
-1179.08262426,785101,10.3035202026,631,153.791,15837.2524414,-0.00872446946353,0.00717486006518,532.9158115386963,0,5174,,-0.0325372219086
-1203.79584955,883515,10.1899452209,613,158.975,15784.4411011,-0.00849774838328,0.00624786155337,599.113124370575,0,5787,,-0.0356166362762
-1161.3982433,981825,10.0836801529,646,155.223,15102.09257,-0.00867337045202,0.00614617980318,665.4616808891296,0,6433,,-0.0423048734665
-1167.53843588,1079705,9.98027420044,618,156.941,15068.7249756,-0.00871505760006,0.00664554571267,731.9608352184296,0,7051,,-0.0458892583847
-1162.41534416,1177786,9.87080287933,627,157.777,14590.4412231,-0.00917215346999,0.0068566655973,797.9151220321655,0,7678,,-0.0208832025528
-1132.20168108,1276793,9.77617740631,643,155.287,13846.6212158,-0.00863794613785,0.00615964229413,864.2652566432953,0,8321,,-0.00072193145752
-1119.85347658,1375476,9.67172050476,615,156.745,13760.8249715,-0.00891519006109,0.00650189693746,930.6587917804718,0,8936,,-0.00567364692688
-1114.91500656,1472903,9.56787014008,630,157.145,13645.9294434,-0.00884190152283,0.00608732444622,996.8886902332306,0,9566,,-0.00985240936279
-1129.0659999,1571651,9.47343921661,602,160.711,13046.3893229,-0.00927979287614,0.00617624402124,1062.9537618160248,0,10168,,-0.0142601728439
-1132.64583894,1669840,9.37743091583,594,163.805,12582.2921753,-0.00913736913935,0.00615182203668,1129.3921320438385,0,10762,,-0.00407862663269
-1121.09422377,1768497,9.27734279633,609,163.596,12226.4497681,-0.00937472084721,0.00649963238781,1195.474170923233,0,11371,,-0.00799822807312
-1108.18523074,1865677,9.18087673187,592,160.97,12640.7267456,-0.00909277398993,0.00620715974947,1261.0845851898193,0,11963,,-0.00281870365143
-1116.20664358,1964789,9.07270050049,613,163.473,11855.9586385,-0.00929464941631,0.00642764059012,1327.4821200370789,0,12576,,0.000702679157257
-1083.11939831,2063014,8.97417259216,600,163.027,11277.1749471,-0.0093450617472,0.00637695291274,1393.7956199645996,0,13176,,0.000392198562622
-1097.16459045,2160462,8.87547779083,583,165.932,11455.9302979,-0.00953051664207,0.00617298151095,1460.9750044345856,0,13759,,-0.000173330307007
-1091.69285781,2259276,8.76460361481,603,165.955,10969.5802612,-0.0100873769164,0.00672638725761,1527.1005215644836,0,14362,,-0.000347971916199
-1066.47570509,2357668,8.66107654572,589,166.33,10152.2308757,-0.00982760868404,0.0062861618159,1591.9853117465973,0,14951,,-0.00104081630707
-1047.13327039,2456393,8.56935024261,590,166.756,9773.2452596,-0.00948963857081,0.00605187192559,1657.6966290473938,0,15541,,-0.0037397146225
-1020.56253332,2554874,8.45684337616,612,164.855,9353.20578003,-0.0100970907661,0.00679270986196,1723.3052251338959,0,16153,,-0.00284290313721
-1018.59883326,2652389,8.34539413452,583,164.613,9712.29125977,-0.010133513686,0.00661658510217,1788.8764958381653,0,16736,,7.77244567871e-05
-1027.11359514,2751308,8.23876667023,601,166.276,9379.19804891,-0.00978551132721,0.00633896007397,1853.344395160675,0,17337,,0.000275135040283
-995.785219195,2849683,8.15399932861,594,163.545,9335.78504435,-0.00993836012397,0.00601221105899,1918.9203870296478,0,17931,,9.54866409302e-05
-1034.58834164,2947655,8.04095458984,572,169.56,8976.73945109,-0.010833200824,0.00672960773227,1984.6299991607666,0,18503,,-0.000126481056213
-1022.95685638,3046495,7.94776821136,568,171.601,8635.9735616,-0.0102816471845,0.00640440051211,2050.249927043915,0,19071,,0.000462532043457
-988.696848938,3144434,7.85914564133,581,170.059,8158.60772705,-0.0103835276677,0.00618373368828,2116.6198654174805,0,19652,,-8.38041305542e-05
-954.573143218,3242737,7.76587295532,597,166.31,7772.5512797,-0.0106192428793,0.00654098232432,2188.102472305298,0,20249,,-4.72068786621e-05
-963.075668055,3341272,7.68072366714,576,167.221,8050.25330607,-0.0107785540264,0.0064432133319,2254.6135399341583,0,20825,,-0.000452876091003
-992.648887676,3438676,7.60638427734,555,172.991,8020.2445577,-0.0108244795022,0.00606766263566,2320.412467479706,0,21380,,-0.000325202941895
-967.508968396,3537904,7.51440000534,568,175.096,6880.61715698,-0.0106396444511,0.00630946645591,2386.092308998108,0,21948,,-0.000715017318726
-1005.88014448,3635918,7.44189405441,540,178.911,8191.92566935,-0.0105451155493,0.0062044064786,2452.1367852687836,0,22488,,0.000651776790619
-1003.25841946,3733948,7.36846160889,548,178.936,7099.84408569,-0.0109418193412,0.0063930870383,2518.0767669677734,0,23036,,7.67111778259e-05
-982.924119281,3832465,7.29462766647,534,180.641,7118.03341675,-0.0109381850925,0.00647266386659,2583.8623156547546,0,23570,,-0.000704765319824
-1009.02745931,3930776,7.2206902504,523,186.126,7037.15090942,-0.0107675917776,0.00594129348368,2649.657310962677,0,24093,,-0.00088369846344
-984.049127821,4029229,7.13893270493,542,184.058,6587.9439799,-0.0113739907101,0.00655534215427,2715.3373115062714,0,24635,,0.000105857849121
-984.962455802,4127010,7.06305408478,508,187.385,6460.21020508,-0.0112266301827,0.00620923927636,2781.825657606125,0,25143,,-0.0010814666748
-1014.24876043,4225715,6.99562215805,516,192.251,6595.12206014,-0.0114947349114,0.00662494674907,2847.7235946655273,0,25659,,-0.00149154663086
-1004.63459847,4322978,6.92316293716,492,194.172,6105.57248942,-0.0108964352985,0.00616428486925,2913.601411819458,0,26151,,0.000113010406494
-998.971260117,4422089,6.85105705261,509,196.246,6111.36482747,-0.0112996232104,0.00665163083856,2979.2662439346313,0,26660,,0.000238537788391
-956.516275771,4521111,6.76757764816,537,187.485,5961.80133057,-0.011275346779,0.00678015956267,3046.942373752594,0,27197,,-0.00109791755676
-941.684308357,4618124,6.68999671936,512,187.696,5473.05350749,-0.0117102503136,0.00684063758429,3112.7896406650543,0,27709,,-5.68628311157e-05
-951.681142122,4716880,6.61425924301,510,192.25,5652.32696533,-0.0114084133796,0.00666224583013,3178.018791913986,0,28219,,-0.000704884529114
-956.49064848,4815579,6.55487203598,498,195.735,5231.6297404,-0.0115794751716,0.0068967716555,3243.483822822571,0,28717,,-3.20672988892e-05
-927.88568236,4913772,6.49267530441,521,192.738,5313.5507609,-0.0113029736094,0.00658787543459,3308.7736101150513,0,29238,,-0.000759601593018
-921.624655611,5012145,6.41681957245,504,191.101,5307.30692037,-0.0113364787928,0.00704111424663,3374.179517030716,0,29742,,2.98023223877e-05
