selected_iter1,loss_ent,TimestepsSoFar,ev_tdlam_before,iteration,AgentID,selected_iter0,EpRewMean,EpisodesSoFar,loss_pol_surr,loss_kl,loss_pol_entpen,loss_vf_loss,EpLenMean,EpThisIter,TimeElapsed
14,9.09082221985,1030165,-0.00174295902252,20,0,19,-1259.57172555,6489,-0.0231888628914,0.0088981979449,,16628.6216227,167.509,289,1447.5571827888489
19,9.0051202774,1031277,-0.0002281665802,20,1,5,-1215.71430753,6466,-0.0233406643771,0.0088109204468,,10250.8454793,168.294,295,1483.1935493946075
12,8.98801040649,1080220,0.000203728675842,21,0,20,-1270.36755956,6780,-0.0237512200547,0.00871953294457,,16283.6044922,169.821,291,1518.6502439975739
20,8.90690040588,1079775,0.000258147716522,21,1,18,-1201.87031317,6766,-0.0238860557947,0.00910198696268,,9164.70450846,167.663,300,1554.1804463863373
9,8.90573596954,1129385,0.000223934650421,22,0,21,-1230.05852406,7080,-0.0245403171478,0.00902083960439,,15035.4110514,166.255,300,1589.721967458725
21,8.81167793274,1128946,-0.00330853462219,22,1,9,-1169.79870483,7054,-0.0246810849446,0.00910146125049,,9485.63131714,166.415,288,1625.0778982639313
4,8.81421470642,1178576,0.000657558441162,23,0,22,-1208.04261312,7378,-0.024540745207,0.00905376886173,,14422.358846,166.265,298,1660.5680084228516
22,8.7280254364,1178703,-0.00275802612305,23,1,15,-1164.83809369,7341,-0.0250844292653,0.00887084383673,,8639.62409465,168.137,287,1695.921219110489
17,8.7180109024,1227148,-1.060962677e-05,24,0,23,-1214.82165331,7669,-0.0247817091004,0.00859155129486,,14462.8498739,169.135,291,1731.3526940345764
23,8.62790679932,1227763,-0.00118219852448,24,1,22,-1180.54544004,7627,-0.0258085407161,0.00926606570526,,8664.48792521,170.764,286,1766.658680677414
13,8.64206123352,1276192,-0.000375032424927,25,0,24,-1218.62229908,7952,-0.0259174600263,0.00872487398253,,13995.1022339,172.015,283,1801.842277288437
24,8.54092788696,1276704,-1.87158584595e-05,25,1,17,-1167.43353846,7918,-0.0250959139084,0.0087125490536,,7798.21314494,171.456,291,1837.241800069809
8,8.55761528015,1325886,-0.000528812408447,26,0,25,-1221.52477708,8227,-0.0264654103181,0.00912960944697,,14181.714152,173.875,275,1872.5141215324402
25,8.45372200012,1325740,0.000478327274323,26,1,10,-1146.34161272,8233,-0.0257483219611,0.00878221714326,,7959.96644084,168.7,315,1907.8731229305267
1,8.46595096588,1375314,0.00110203027725,27,0,26,-1192.17571676,8514,-0.0270261979022,0.00920735427644,,13986.2056274,167.987,287,1942.553391456604
26,8.35131645203,1374793,-0.000359773635864,27,1,13,-1132.94367202,8525,-0.0258329837428,0.00911348728308,,8326.57943726,166.255,292,1977.9726023674011
0,8.38620281219,1423963,-7.37905502319e-05,28,0,27,-1185.05991277,8812,-0.0271264941645,0.00882427664086,,13873.8548381,166.285,298,2013.8160288333893
27,8.27468776703,1423636,0.000100195407867,28,1,0,-1163.22305782,8793,-0.025292958259,0.0087273028912,,7697.29358927,171.61,268,2049.2742614746094
7,8.3125295639,1473512,-7.33137130737e-05,29,0,28,-1211.82046048,9095,-0.0267840649418,0.00868337438442,,13755.4250692,173.311,283,2084.281664133072
28,8.18758964539,1473766,-0.0091472864151,29,1,26,-1188.05679394,9070,-0.0262385326738,0.00873783843902,,7930.55626424,177.131,277,2119.90829873085
29,8.23562335968,1522421,8.624792099e-05,30,0,29,-1228.43262232,9380,-0.0275924141073,0.0093404345098,,13792.1321004,177.223,285,2155.5273978710175
29,8.09714508057,1522288,-0.00147211551666,30,1,9,-1181.19425916,9351,-0.0271457749186,0.00894739742701,,6807.31207275,176.411,281,2190.8288011550903
11,8.15954875946,1571843,-0.000120162963867,31,0,30,-1182.82061491,9657,-0.0283913097179,0.00917749780153,,12345.1178589,173.407,277,2226.2498648166656
30,8.01303100586,1571607,1.31130218506e-05,31,1,16,-1138.34467868,9639,-0.0269958169083,0.00911210560783,,7058.55858358,174.255,288,2261.538825273514
27,8.0857219696,1620820,4.3511390686e-06,32,0,31,-1173.41800346,9935,-0.0300023638216,0.00995409224803,,12333.2802327,174.677,278,2296.62784743309
31,7.94750785828,1619959,7.65919685364e-05,32,1,7,-1140.20050532,9916,-0.0263339232139,0.00847114316033,,6829.17678833,175.759,277,2331.7851202487946
19,7.99533224106,1669560,-0.000561714172363,33,0,32,-1166.13989145,10196,-0.0304831382916,0.00954275619006,,11489.9022217,176.891,261,2367.1604981422424
32,7.87463331223,1670207,-0.0067001581192,33,1,29,-1158.96186624,10193,-0.0283369650327,0.00943228598529,,6938.29979451,180.558,277,2402.49006319046
8,7.90854406357,1718872,-7.2717666626e-06,34,0,33,-1179.85295183,10476,-0.0296192263486,0.00946378298492,,11565.0582479,180.268,280,2438.5596566200256
33,7.78829908371,1718545,-0.0108501911163,34,1,17,-1117.25829728,10483,-0.0273460240714,0.0092192957527,,6244.94373576,175.667,290,2474.0828773975372
21,7.85193634033,1768635,0.000358164310455,35,0,34,-1165.63511889,10749,-0.0302170384384,0.00941570964642,,12145.7309163,176.152,273,2509.3663952350616
34,7.71033477783,1767974,0.000187695026398,35,1,17,-1144.23475813,10739,-0.0291362436741,0.00968014008443,,6105.49134318,179.432,256,2544.7561910152435
26,7.78429985046,1817279,2.14576721191e-06,36,0,35,-1175.84270508,11024,-0.0300731957541,0.00942945016626,,11385.8643392,180.429,275,2580.1603922843933
35,7.61743211746,1817560,0.000152945518494,36,1,24,-1148.27087013,11013,-0.0286763158607,0.00996012083488,,5852.64618937,182.615,274,2615.822556734085
5,7.70482635498,1866198,-0.00456285476685,37,0,36,-1152.35389916,11304,-0.0302926711544,0.0097738232774,,11200.0668132,179.374,280,2651.380142211914
36,7.52979135513,1866428,0.00249373912811,37,1,15,-1129.63857437,11266,-0.0285218934805,0.00975098751951,,6155.21261597,181.332,253,2686.8008682727814
16,7.63696336746,1916166,5.63263893127e-05,38,0,37,-1146.93833794,11587,-0.0304973307745,0.0100415258397,,10398.2816976,181.191,283,2722.2067790031433
37,7.46349430084,1915667,9.81688499451e-05,38,1,29,-1144.32817549,11519,-0.0289792090383,0.00973762305997,,6148.36573283,184.606,253,2757.2342257499695
31,7.56527709961,1964752,-3.93390655518e-06,39,0,38,-1164.04001878,11862,-0.0316362346057,0.0101211521542,,10715.1465454,183.753,275,2792.3185064792633
38,7.38525152206,1965222,4.02927398682e-05,39,1,19,-1145.67890219,11776,-0.0290167409791,0.0098116871474,,5598.4482015,186.074,257,2827.62664437294
9,7.4942946434,2013548,3.99351119995e-05,40,0,39,-1153.7663902,12124,-0.031439760079,0.00967103310783,,9534.85872396,187.166,262,2862.8237130641937
39,7.30298519135,2013287,-4.74452972412e-05,40,1,7,-1111.30319497,12032,-0.0296442911592,0.00995405938011,,5290.16931661,185.83,256,2898.086124897003
22,7.43456983566,2063291,-0.0039039850235,41,0,40,-1133.67996187,12383,-0.0310562530746,0.0100868427932,,9750.17067464,189.04,259,2932.5311069488525
40,7.23000764847,2062799,-0.0233021974564,41,1,14,-1099.62167004,12308,-0.0291898365152,0.0101516624757,,5143.3082428,185.488,276,2968.325455904007
41,7.35717153549,2111663,1.66893005371e-05,42,0,41,-1121.92836188,12645,-0.0313446082485,0.0102315738332,,9324.97753906,186.157,262,3003.5999970436096
41,7.14624071121,2111935,-0.00414848327637,42,1,9,-1104.37678013,12576,-0.0298259456273,0.00992673621901,,5461.11515808,186.235,268,3038.9196949005127
18,7.29992866516,2161357,-0.000216007232666,43,0,42,-1120.17560323,12900,-0.0312703080417,0.0101898178497,,9198.84215291,186.54,255,3074.427391052246
42,7.07803058624,2161621,-0.00165057182312,43,1,15,-1112.83543541,12845,-0.0306150568746,0.0100200018302,,5621.64983114,186.703,269,3109.6188354492188
6,7.24313879013,2208936,-0.000108242034912,44,0,43,-1127.41349052,13164,-0.0324703593506,0.00993017010236,,9298.95511882,186.729,264,3144.8213930130005
43,7.01498174667,2211032,0.19267898798,44,1,36,-1113.32313298,13103,-0.030314094581,0.00986588125428,,5018.41973877,188.353,258,3180.2202389240265
31,7.16564083099,2259013,-0.000718712806702,45,0,44,-1124.01348089,13426,-0.0318694697053,0.0103348181195,,9202.93328857,186.261,262,3215.427549123764
44,6.95397758484,2259467,0.059996008873,45,1,11,-1112.69866481,13357,-0.0316899835792,0.0104067313562,,5008.23010763,188.845,254,3250.704991340637
17,7.10314273834,2308384,-0.0128748416901,46,0,45,-1147.79162682,13670,-0.032924114906,0.010220709121,,8817.28977458,194.216,244,3285.945392370224
45,6.87500667572,2308205,0.0640518665314,46,1,21,-1139.32159905,13605,-0.0324053752023,0.010883741042,,4415.55301921,194.978,248,3321.0697317123413
41,7.02575778961,2357156,-0.000199437141418,47,0,46,-1127.77495862,13923,-0.0309507284449,0.0104541072312,,8511.68931071,195.38,253,3356.5297994613647
46,6.79324007034,2357517,0.124393343925,47,1,46,-1100.55593394,13872,-0.031642532238,0.011087520048,,4656.33474731,192.336,267,3391.604839324951
36,6.95776462555,2406501,-0.000332474708557,48,0,47,-1101.51164968,14182,-0.0331592329749,0.0103725453567,,8917.38909912,190.542,259,3426.9805052280426
47,6.72653341293,2406535,0.302607953548,48,1,18,-1085.07980129,14133,-0.030792546575,0.0104322201611,,4257.37906392,188.51,261,3462.3147988319397
46,6.88208913803,2456378,2.54511833191e-05,49,0,48,-1106.40793405,14437,-0.0331869363508,0.010658771828,,8300.53572591,189.995,255,3497.618175268173
48,6.66916131973,2455879,0.0512849092484,49,1,40,-1110.96333162,14381,-0.0316770623516,0.0105985870274,,4473.31417338,193.045,248,3532.9605395793915
11,6.80273485184,2505279,2.34246253967e-05,50,0,49,-1098.10147898,14705,-0.032523818479,0.0103985235134,,7855.95818075,191.237,268,3568.281087398529
49,6.62756299973,2505520,0.466356217861,50,1,45,-1083.83791889,14638,-0.0313518247082,0.011015261698,,4314.83173116,191.773,257,3603.957540035248
16,6.74170780182,2553902,-5.81741333008e-05,51,0,50,-1072.16781983,14965,-0.0332454033778,0.0111038213945,,7996.44898478,188.937,260,3639.4331080913544
50,6.54517316818,2554578,0.433151781559,51,1,40,-1036.75141353,14911,-0.0314829162283,0.011342780684,,3952.97841899,185.857,273,3674.782795906067
15,6.66626167297,2603188,-2.03847885132e-05,52,0,51,-1052.29595722,15224,-0.0321218097718,0.0111847683826,,7363.23873901,187.204,259,3710.2231702804565
51,6.48302316666,2603064,0.0331403017044,52,1,40,-1042.42276383,15157,-0.0312699253069,0.0111572728686,,4097.30897013,187.771,246,3745.635237932205
50,6.60628843307,2653201,-4.86373901367e-05,53,0,52,-1074.92308008,15478,-0.0333233424171,0.0110735451259,,7849.87252808,191.593,254,3780.8355054855347
52,6.42275857925,2652291,0.152115821838,53,1,8,-1101.17289954,15396,-0.0317551257322,0.0112174521976,,4081.75788879,197.553,239,3816.219267129898
10,6.55456495285,2701738,-4.50611114502e-05,54,0,53,-1085.2017405,15753,-0.0330379374209,0.0109886379602,,7301.915212,193.479,275,3851.4560754299164
53,6.35446119308,2701340,0.304545819759,54,1,49,-1071.700419,15640,-0.0324078470197,0.0117866800283,,3896.26483154,193.9,244,3886.8075635433197
43,6.50098371506,2751098,3.49879264832e-05,55,0,54,-1061.69110732,16021,-0.0338423686868,0.0116002729628,,7299.41907756,191.179,268,3922.1769082546234
54,6.27270555496,2751112,0.355152487755,55,1,49,-1010.63549048,15909,-0.0322974679681,0.0121980293382,,3673.84354146,187.313,269,3957.6851913928986
37,6.44019460678,2799317,-0.0194953680038,56,0,55,-1023.39280962,16282,-0.0335379326425,0.0111098579752,,6676.77434285,188.118,261,3992.980822324753
55,6.22299098969,2800879,0.517050743103,56,1,4,-1015.6855645,16144,-0.0321142628284,0.0111022119915,,3857.38000488,190.433,235,4028.466391324997
29,6.38903045654,2849108,-7.59363174438e-05,57,0,56,-1048.21537642,16519,-0.0340297040724,0.0114856848959,,7132.97225952,197.316,237,4064.469393491745
56,6.16007375717,2850131,0.270466506481,57,1,33,-1066.23470697,16401,-0.0320790297895,0.0112791177041,,3624.48468018,199.449,257,4099.970707893372
53,6.3254032135,2898504,-0.00039267539978,58,0,57,-1089.18053398,16767,-0.0327853564862,0.0109505715858,,7069.51771037,203.082,248,4135.337713241577
57,6.10143995285,2897702,0.588518381119,58,1,34,-1077.76717639,16643,-0.0331054874599,0.0115126934252,,3816.80607096,200.022,242,4170.809391975403
53,6.2571182251,2947429,-0.0276064872742,59,0,58,-1056.61171318,17019,-0.0332378936194,0.0115764841709,,6710.99991862,195.673,252,4206.44744682312
58,6.03723955154,2947381,0.412862658501,59,1,41,-1051.40699102,16899,-0.0328632368037,0.0121390651135,,3545.37998962,195.977,256,4242.039258003235
1,6.19359350204,2997399,0.00125873088837,60,0,59,-1037.24475846,17289,-0.0342104958836,0.0119061545702,,6492.60749308,192.457,270,4277.532244682312
59,5.97033643723,2996523,0.136424362659,60,1,12,-1021.62051936,17156,-0.0340591202645,0.0123028890618,,3531.73015849,190.9,257,4313.026017904282
26,6.12952613831,3046098,-0.000428438186646,61,0,60,-1017.82752604,17545,-0.032988478061,0.0116076997365,,6703.25130208,188.284,256,4348.533646345139
60,5.89942407608,3045023,0.0765912532806,61,1,24,-1010.3860823,17410,-0.0338695753017,0.0124019663781,,2998.58457438,189.872,254,4383.782174348831
54,6.07015275955,3094509,-5.96046447754e-05,62,0,61,-1019.38599418,17793,-0.0344477305771,0.0118169581595,,6183.28264364,192.032,248,4419.102944135666
61,5.8370757103,3095085,0.171705186367,62,1,46,-1025.66816861,17656,-0.034048813434,0.0120538658618,,3680.6855367,194.957,246,4454.667810201645
45,6.00851392746,3143644,-7.31945037842e-05,63,0,62,-1037.66274958,18041,-0.0361054417541,0.0122954100952,,6312.81374613,196.643,248,4490.080713748932
62,5.76864480972,3144136,0.482333362103,63,1,3,-1039.47712806,17913,-0.0337676840039,0.0125401519666,,3339.07944743,196.893,257,4525.970071554184
39,5.95651197433,3192645,-0.000681519508362,64,0,63,-1069.47396481,18272,-0.0349642593549,0.0122176243652,,6879.54714966,201.21,231,4561.519479036331
63,5.70702075958,3193188,0.510445863008,64,1,30,-1024.32109133,18165,-0.0338310648755,0.012882896893,,2932.91267395,198.15,252,4597.009612798691
4,5.8911447525,3242844,-9.17911529541e-06,65,0,64,-1005.97654007,18534,-0.0329236603769,0.0116413812308,,5888.27700806,196.794,262,4632.427225351334
64,5.6410317421,3242262,0.572194010019,65,1,24,-1020.15345742,18410,-0.0339794170577,0.0130112409048,,3558.07402547,198.997,245,4667.916120052338
60,5.84060764313,3292249,-1.53779983521e-05,66,0,65,-998.002187713,18778,-0.0358244027302,0.0123597199175,,5624.0616099,196.738,244,4703.418976783752
65,5.55847072601,3291798,0.438796937466,66,1,54,-1001.49224799,18674,-0.0356120796156,0.0135755723265,,3335.20954895,194.817,264,4739.0501120090485
52,5.78027629852,3340079,-0.000123620033264,67,0,66,-1025.38981624,19019,-0.0349139678001,0.0127032098826,,6460.11033122,197.403,241,4774.573865652084
66,5.5002412796,3341179,0.364396095276,67,1,8,-1029.4128852,18903,-0.0337040456167,0.0127265347207,,3444.9382782,201.165,229,4810.231016397476
49,5.71830177307,3390411,8.92877578735e-05,68,0,67,-1035.61669836,19260,-0.0360140462484,0.0132852520328,,5703.22366333,202.143,241,4845.709264993668
67,5.43798875809,3390379,0.640930950642,68,1,55,-1031.58843403,19146,-0.0356672599737,0.0130805324297,,3123.58194478,204.624,243,4881.272956609726
61,5.65475273132,3439421,3.06367874146e-05,69,0,68,-1033.80894012,19502,-0.0339801270699,0.0126351882742,,5496.65126546,206.115,242,4916.566326141357
68,5.37918710709,3438754,0.554409235716,69,1,40,-995.980332799,19392,-0.0349183387443,0.0129776853137,,3118.955012,203.143,246,4952.050199270248
36,5.61392641068,3488549,-0.0177314281464,70,0,69,-1017.39995028,19736,-0.035431538757,0.0126580549792,,6016.45953369,202.773,234,4987.738002538681
69,5.31372117996,3487479,0.118301212788,70,1,25,-1002.94946618,19638,-0.0356060440439,0.013434279322,,3023.10473633,200.678,246,5023.618675708771
38,5.57010126114,3537874,0.000151336193085,71,0,70,-990.261762215,20007,-0.0354034478466,0.0127104949982,,5177.65913391,196.041,271,5059.226718425751
70,5.25782394409,3536617,0.681697487831,71,1,15,-1000.63523072,19877,-0.0363559527711,0.01370837099,,3101.80534363,198.88,239,5094.898881673813
21,5.51184034348,3586241,-4.75645065308e-05,72,0,71,-977.368055934,20251,-0.0380836337863,0.0136258240867,,5246.76451111,195.555,244,5130.911515235901
71,5.18639230728,3586287,0.631657630205,72,1,35,-964.671478704,20125,-0.0360930731404,0.0138645047167,,3036.71690369,196.071,248,5166.621548652649
15,5.455930233,3635508,-2.3365020752e-05,73,0,72,-1010.72998539,20475,-0.0353114451282,0.013427865284,,5331.26831055,204.401,224,5202.931539773941
72,5.14599323273,3635838,0.519411504269,73,1,36,-1007.82967829,20366,-0.0369280664891,0.0142994951069,,3133.838974,204.799,241,5238.635801553726
12,5.40099811554,3684582,0.000186443328857,74,0,73,-1041.04870207,20701,-0.0350431553961,0.0135195952801,,5817.18898519,209.184,226,5274.250239610672
73,5.08618068695,3684316,0.636933714151,74,1,72,-1031.84055442,20603,-0.0357612995819,0.0137712106419,,2879.56797282,210.305,237,5310.051513195038
69,5.34330654144,3734244,8.04662704468e-06,75,0,74,-1056.2847609,20933,-0.0342593090609,0.0128643472757,,5348.70001221,210.754,232,5345.604947566986
74,5.04906988144,3733919,0.467484951019,75,1,51,-1010.48241623,20855,-0.0359510994458,0.0139270019718,,2909.94151815,208.043,252,5381.2361216545105
26,5.28758621216,3782898,-0.00444102287292,76,0,75,-1030.81604909,21151,-0.0346432788938,0.0137433647178,,5375.84042867,209.999,218,5416.776856422424
75,4.98070287704,3783396,0.59547778964,76,1,40,-987.648842623,21108,-0.0353359904063,0.0143515286618,,3044.72685242,206.134,253,5452.408007144928
74,5.24693727493,3832841,-4.55379486084e-05,77,0,76,-999.114490519,21387,-0.0359574254156,0.0133244758278,,5122.57154338,206.783,236,5487.901545524597
76,4.92277002335,3832228,0.60478079319,77,1,46,-1004.32423326,21314,-0.036537902973,0.014171421198,,3321.77311198,213.568,206,5523.45100402832
0,5.1931142807,3880364,-3.56435775757e-05,78,0,77,-1020.01864894,21636,-0.0365975524667,0.0136809853138,,4884.07785543,208.343,249,5558.893235683441
77,4.86961889267,3881772,0.288474321365,78,1,69,-984.747931737,21580,-0.037297444389,0.0150402691215,,2835.40725199,205.305,266,5594.637315273285
42,5.13110113144,3931015,4.88758087158e-06,79,0,78,-978.950499367,21882,-0.0340761696959,0.0136693010184,,4886.6931661,203.225,246,5630.264971256256
78,4.813560009,3930356,0.666584908962,79,1,5,-932.909070028,21839,-0.0371300407957,0.0149802452458,,2838.48524475,192.202,259,5665.742603778839
56,5.08081150055,3979486,-1.78813934326e-05,80,0,79,-935.873942311,22121,-0.0355491007019,0.0141242050449,,4635.1376241,195.055,239,5701.10263800621
79,4.74377536774,3980328,0.680693656206,80,1,34,-946.594772466,22090,-0.0354966655626,0.0152497042242,,2706.64292399,198.699,251,5736.956896305084
25,5.01652574539,4028613,4.17232513428e-07,81,0,80,-965.088097969,22353,-0.035036251337,0.013172742445,,5296.86324056,199.639,232,5772.38770365715
80,4.69156742096,4028700,0.706200987101,81,1,56,-957.840520089,22327,-0.0373775742191,0.0160833263071,,2747.52775065,203.268,237,5808.011768341064
52,4.96248531342,4077978,-0.000129222869873,82,0,81,-955.601861696,22605,-0.0347946852853,0.0138566385528,,4443.45319112,201.624,252,5843.703208446503
81,4.63387155533,4077680,0.334212481976,82,1,21,-938.579819734,22564,-0.0359112089403,0.0150603655881,,2797.71762848,202.609,237,5879.125885486603
12,4.91772413254,4127365,-0.000848531723022,83,0,82,-938.659874805,22843,-0.0362988951359,0.0133212932657,,4314.861262,203.722,238,5914.804938077927
82,4.57744503021,4127417,0.726823449135,83,1,62,-924.382850349,22801,-0.0372638443757,0.0151934181922,,2807.85434977,205.753,237,5950.569783687592
14,4.8834104538,4175794,-2.62260437012e-06,84,0,83,-945.57179821,23077,-0.0352382439693,0.0138926413298,,4307.05812073,208.158,234,5986.314090251923
83,4.51360034943,4176418,0.687109142542,84,1,1,-901.367924241,23052,-0.0370709788015,0.0152761486825,,2770.75007121,203.908,251,6022.138516902924
74,4.82092380524,4224999,-4.00543212891e-05,85,0,84,-906.470062257,23321,-0.0348825339849,0.0143309773606,,4431.57903035,203.255,244,6057.999743461609
84,4.4677195549,4225983,0.267989754677,85,1,77,-895.64339647,23302,-0.0373951084427,0.0156024299989,,3103.90846761,201.564,250,6093.718296051025
5,4.76471948624,4274889,-0.00104820728302,86,0,85,-902.690197906,23551,-0.0343636728455,0.0138410629976,,4208.4826355,203.451,230,6129.512780427933
85,4.43005275726,4275061,0.483730614185,86,1,81,-925.163614763,23540,-0.0378785353775,0.0157249756739,,2761.98101807,204.476,238,6165.4223420619965
62,4.69654321671,4323392,-4.89950180054e-05,87,0,86,-953.710434039,23774,-0.0350604205159,0.014209065955,,4389.88813782,208.139,223,6201.3188416957855
86,4.39135408401,4324200,0.743897229433,87,1,64,-923.512748369,23778,-0.0372325288093,0.0155584332727,,2828.00380452,210.398,238,6237.111303567886
