iter_agent0,iter_agent1,win0,win1,draw
2035,0,29,155,16
2035,100,21,165,14
2035,200,21,167,12
2035,300,20,169,11
2035,400,21,163,16
2035,500,17,176,7
2035,600,12,181,7
2035,700,7,188,5
2035,800,12,184,4
2035,900,6,192,2
2035,1000,6,191,3
2035,1100,13,185,2
2035,1200,4,195,1
2035,1300,7,186,7
2035,1400,6,191,3
2035,1500,3,195,2
2035,1600,4,192,4
2035,1700,4,192,4
2035,1800,9,190,1
2035,1900,3,192,5
2035,2000,4,195,1
2035,2035,5,193,2
